mic_name,day,start_time,end_time,venue_name,borough,neighborhood,address,cost,stage_time_minutes,signup_instructions,organizer_contact,notes
PIT Improv Jam,Tuesday,9:30 PM,10:30 PM,The PIT NYC,Manhattan,Midtown,"154 W. 29th St., New York, NY 10001",$5,,Sign up online,Lane Napper,
Buddha Rodney's,Tuesday,9:45 PM,11:15 PM,Rodney's,Manhattan,UES,"1118 1st Ave, New York, NY 10065",$7,,Sign up at https://www.laughingbuddhacomedy.com/mics,Danny Metz (@laughingbuddhacomedy),Win a guest spot
Pandamonium,Tuesday,10:00 PM,11:30 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207",$2,5,Bucket mic; sign up in person (Blue Room),@pandamoniumcomedyy,
2 Eli's Late Mic,Tuesday,10:00 PM,12:15 AM,Grisly Pear Midtown,Manhattan,Midtown,"243 W 54th St, New York, NY 10019",$7.50,5,Sign up at https://www.laughingbuddhacomedy.com/mics,Eli Maroney (@eli.maroney),
Pure Chaos,Tuesday,10:30 PM,11:45 PM,Rose R&R Bar,Brooklyn,Williamsburg,"457 Graham Ave, Brooklyn, NY 11222",1 Drink Minimum,4,Check Instagram for signup link,@purechaoscomedy,Runs 1st and 3rd Tuesday of the month.
Comediq 3-Min Mic,Tuesday,11:00 PM,1:00 AM,Luxor Lounge,Manhattan,Greenwich Village,"118 MacDougal St, New York, NY 10012",1 Drink Minimum,3,Sign up in person,@comediq.us,
PIT Show Mic,Wednesday,4:00 PM,5:30 PM,The PIT NYC,Manhattan,Midtown,"154 W. 29th St., New York, NY 10001",$5,5,Sign up online,DJ Dark Davey (@dmruizcreative),
Grisly Pear,Wednesday,4:30 PM,6:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 MacDougal St, New York, NY 10012",$5 cash,5,Sign up in person only,@shanonharrislive,
Broadway Comedy Club,Wednesday,5:00 PM,6:30 PM,Broadway Comedy Club,Manhattan,Hell's Kitchen,"318 W 53rd St, New York, NY 10019",$5,5,Sign up at https://slotted.co/wednesdaymic,Audrey Mora (@industryroom),
Greenwich Village Comedy Club Mic,Wednesday,5:00 PM,6:45 PM,Greenwich Village Comedy Club,Manhattan,Greenwich Village,"99 MacDougal St, New York, NY 10012",$5 cash,5,Sign up at DrewTessier.com,Drew Tessier (@comedybydrew),
Secret Mic,Wednesday,5:00 PM,6:30 PM,New York Comedy Club East Village,Manhattan,East Village,"85 E 4th St, New York, NY 10003",$5 cash,,Sign up in person,Dezmend Lee (@dezmend_lee_drumgould),
Get It Goin',Wednesday,5:00 PM,6:30 PM,St. Mark's Comedy Club,Manhattan,East Village,"12 St Marks Pl, New York, NY 10003",$5 cash,5,Sign up in person,Josue Reveles (@Josue.Reveles_),
The Grisly Pear Mic,Wednesday,5:00 PM,6:30 PM,The Grisly Pear,Manhattan,Midtown,"243 W 54th St, New York, NY 10019",$7,,Sign up at https://www.laughingbuddhacomedy.com/mics,Laughing Buddha (@laughingbuddhacomedy),
The Stand Mic,Wednesday,5:00 PM,6:30 PM,The Stand,Manhattan,Union Square,"116 E 16th St, New York, NY 10003",$5 (includes drink),5,Email Comedymics@gmail.com on Tuesday at 10 AM,Josh Homer,
Producer's Club,Wednesday,5:00 PM,6:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",$5 cash,5,Sign up in person only,Dee Major (@micdupnyc),
Sesh Mic,Wednesday,5:00 PM,6:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002",$5,5,Sign up in advance at https://slotted.co/seshopenmics,Sesh Comedy (@flowstatecomedy),
BK Made Open Mic,Wednesday,5:00 PM,6:30 PM,BKLYN Made Comedy,Brooklyn,Bushwick,"1241 Halsey St, New York, NY 11237",$3,5,Sign up in person,@bkmade_openmics,
Comedy Village Open Mic,Wednesday,5:30 PM,7:00 PM,Comedy Village,Manhattan,Hell's Kitchen,"352 W 44th St, New York, NY 10036",$6 (includes drink),5,Sign up online,Natalie Gavilanes (@nataliedoescomedy),On break in August, returns in September.
Teachers Lounge,Wednesday,5:30 PM,7:00 PM,Halyards,Brooklyn,Gowanus,"406 3rd Ave, Brooklyn, NY 11215",Free (purchase recommended),,Sign up in person,@teachersloungeopenmic,
Fully Charged,Wednesday,5:30 PM,7:00 PM,Starr Bar,Brooklyn,Bushwick,"214 Starr St, Brooklyn, NY 11237",Free (purchase recommended),,Sign up in person,,
Greek Yogurt,Wednesday,5:45 PM,7:15 PM,Grove 34,Queens,Astoria,"31-83 34th St, Astoria, NY 11106",$4,,Sign up in person,Chris Lopez and Javier Hernandez (@greekyogurtcomedy),
We Wear Pink,Wednesday,5:45 PM,7:15 PM,West Side Comedy Club,Manhattan,UWS,"201 W 75th St, New York, NY 10023",Free (purchase recommended),,Sign up in person,Alex Kimedian and Patricia Dinglas (@wewearpinkcomedy),LGBTQ+ and women focused
Wizman Comedy,Wednesday,6:00 PM,7:30 PM,Alligator Lounge,Brooklyn,Williamsburg,"600 Metropolitan Ave, Brooklyn, NY 11211",Free (purchase recommended),,Sign up in person,Ryan Ciecwisz (@wizman.comedy),
The Champs,Wednesday,6:00 PM,7:30 PM,Pine Box Rock Shop,Brooklyn,East Williamsburg,"12 Grattan St, Brooklyn, NY 11206",Free (purchase recommended),,Sign up in person,@pineboxrockshop,
Comedy Shop,Wednesday,6:00 PM,7:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012",$7.62 (includes drink/fries),,Sign up at https://comedyshopnyc.com/events/,Alexis Ramirez (@asapangry_),
Fear City Mic,Wednesday,6:00 PM,7:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002",$5,5,Comment on Instagram post to sign up,Jonesy (@thefearcitycomedyclub),
Grisly Pear,Wednesday,6:00 PM,7:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 MacDougal St, New York, NY 10012",$5 cash,5,Sign up in person only,@grislypear,
Sesh Mic,Wednesday,6:00 PM,7:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002",$5,5,Sign up in advance at https://slotted.co/seshopenmics,Sesh Comedy (@theflowstatemic),
Brainstorm Mic,Wednesday,6:00 PM,8:00 PM,Judy Z's,Manhattan,West Village,"1 7th Ave S, New York, NY 10014",Free (purchase recommended),,Sign up in person only,Alec Wirth, Steve Messner (@albandero),
Phoenix Bar,Wednesday,6:00 PM,7:45 PM,Phoenix Bar Avenue A,Manhattan,East Village,"447 E 13th St, New York, NY 10009",1 Drink Minimum,5,Sign up in person only,Wayne Charles II (@phoenixcomedynyc),
Producer's Club,Wednesday,6:00 PM,7:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",$5 cash,5,Sign up in person only,Dee Major (@micdupnyc),
QED Open Mic,Wednesday,6:00 PM,7:30 PM,QED Astoria,Queens,Astoria,"27-16 23rd Ave, Astoria, NY 11105",$5+ purchase,,Sign up at 5:30 PM,QED Staff (@qedastoria),
Variety Mic,Wednesday,6:30 PM,8:00 PM,Enoch's,Manhattan,Hudson Yards,"480 10th Ave, New York, NY 10018",$3,,Sign up at 6:00 PM,Shawn Wickens (@timetravelingstoned),
Finite Jest,Wednesday,6:30 PM,8:00 PM,Flop House Comedy Club,Brooklyn,Williamsburg,"362 Grand St, Brooklyn, NY 11211",Free (purchase recommended),,Sign up at https://checkout.square.site/merchant/MLE3S94S31KSN/checkout/SIS6B57KN346S6DZKXCFZ26T,Flop House Host (@flophousecomedy),
BK Made Open Mic,Wednesday,7:00 PM,8:30 PM,BKLYN Made Comedy,Brooklyn,Bushwick,"1241 Halsey St, New York, NY 11237",$3,5,Sign up in person,@bkmade_openmics,
Sesh Mic,Wednesday,7:00 PM,8:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002",$5,5,Sign up in advance at https://slotted.co/seshopenmics,Sesh Comedy (@theflowstatemic),
The Ham Mic,Wednesday,7:00 PM,8:30 PM,Fiction Bar,Brooklyn,East Williamsburg,"308 Hooper St, Brooklyn, NY 11211",Free (purchase recommended),,Sign up in person,Ellis Thomson and Molly Manier (@itsthehammic),
Freddy's Mic,Wednesday,7:00 PM,9:30 PM,Freddy's Bar,Brooklyn,Greenwood,"627 5th Ave, Brooklyn, NY 11215",Free (purchase recommended),5,Sign up in person only,Asif L./Mike H. (@fisacomedy),
The Hump Day Soiree,Wednesday,7:00 PM,9:00 PM,Secret Pour,Brooklyn,Bushwick,"1114 DeKalb Ave, Brooklyn, NY 11221",Free (purchase recommended),5,Show up go up,Tyler Losier (@losierty13),
Caravan of Dreams,Wednesday,7:00 PM,9:30 PM,Caravan of Dreams,Manhattan,East Village,"405 E 6th St, New York, NY 10009",$3 cash + 1 Item,,Sign up at https://slotted.co/yve9r1gg,Cooper Rego/Paola Dattner (@paoladattner),
Jellicle Ball,Wednesday,7:00 PM,8:30 PM,Tara Mor,Manhattan,Chelsea,"150 W 30th Street, New York, NY 10001",1 Drink Minimum,,Sign up online,@jellicle_comedy,For women and queer performers
Housewatch Mic,Wednesday,7:00 PM,9:00 PM,Housewatch,Manhattan,East Village,"50 Avenue B, New York, NY 10009",1 Drink Minimum,5,Sign up in person only,Hillary Schwartz/Max Ryan (@maxryancomedy),
Forthcoming Mic,Wednesday,7:00 PM,9:00 PM,Tommy Figz,Manhattan,Hell's Kitchen,"1000 Eighth Ave, New York, NY 10019",$10,10,,Douglas D. (@nameofshowforthcoming),
Bushwick Comedy Club,Wednesday,7:30 PM,8:30 PM,Bushwick Comedy Club,Brooklyn,Bushwick,"259 Melrose St, Brooklyn, NY 11206",$5 online,5,Sign up at www.bushwickcomedy.com,Jad/Brooks/Kyle (@bushwickcomedyclub),
Death to All of Them,Wednesday,7:30 PM,9:00 PM,Hell Phone,Brooklyn,Williamsburg,"247 Varet St, Brooklyn, NY 11206",Free (purchase recommended),,Sign up in person,Courtney Peck & Erica Green (@deathtoallofthem),
Suite Gay Bar Mic,Wednesday,7:30 PM,9:00 PM,NYC Suite Bar,Manhattan,UWS,"992 Amsterdam Ave, New York, NY 10025",1 Drink Minimum,,Show up to go up at 7:15 PM,Peter Struckmeyer (@pstruck14),
Producer's Club,Wednesday,7:30 PM,9:00 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",$5 cash,5,Sign up in person only,Dee Major (@micdupnyc),
Sick Hat Mic,Wednesday,7:45 PM,9:15 PM,Cobra Club,Brooklyn,East Williamsburg,"6 Wyckoff Ave, Brooklyn, NY 11237",Free (purchase recommended),3,Sign up in person,Becky Granger (@Beckdaddyg),
Brooklyn Dreams Mic,Wednesday,8:00 PM,10:00 PM,Brooklyn Dreams Juice Lounge,Brooklyn,Bushwick,"1276 Broadway, Brooklyn, NY 11221",$5,7,Sign up via Eventbrite,Winz-35 (@worldofwinz),
Tiny Cupboard,Wednesday,8:30 PM,10:00 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207",$2,5,Sign up in person (Blue Room),Molly Levine (@thetinycupboard),
BK Made Open Mic,Wednesday,9:00 PM,10:30 PM,BKLYN Made Comedy,Brooklyn,Bushwick,"1241 Halsey St, New York, NY 11237",$3,5,Sign up in person,@bkmade_openmics,
Fear City Late Mic,Wednesday,9:00 PM,10:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002",$5,5,Comment on Instagram post to sign up,Jonesy (@thefearcitycomedyclub),Show dependent start time (9 or 10 PM)
QED Late Mic,Wednesday,9:15 PM,11:15 PM,QED Astoria,Queens,Astoria,"27-16 23rd Ave, Astoria, NY 11105",$5+ purchase,,Sign up at 9:30 PM,QED Staff (@qedastoria),Show dependent
Soho Playhouse Mic,Wednesday,9:30 PM,2:00 AM,Soho Playhouse,Manhattan,SoHo,"15 Vandam St, New York, NY 10013",$5,,Sign up in person only,Jackson Sturkey (@thefinaljackson),
PIT Scene Improv Jam,Wednesday,9:30 PM,10:30 PM,The PIT NYC,Manhattan,Midtown,"154 W. 29th St., New York, NY 10001",$5,,Sign up online,"Slaney Rose Jordan, Melody Conte & Rob Davenport!",
Try New Sh*t,Wednesday,9:45 PM,11:30 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217",$3 + 1 drink,,Sign up in person,Sean Mullins (@seantmullins),
Laughing Buddha Mic-a-thon,Wednesday,6:00 PM,7:30 PM,The Buddha Room,Manhattan,Midtown,"410 8th Ave 2nd Floor, New York, NY 10001",$6+ booking fee,5,Sign up at https://www.laughingbuddhacomedy.com/mics,@laughingbuddhacomedy,
Laughing Buddha Mic-a-thon,Wednesday,7:30 PM,9:00 PM,The Buddha Room,Manhattan,Midtown,"410 8th Ave 2nd Floor, New York, NY 10001",$6+ booking fee,5,Sign up at https://www.laughingbuddhacomedy.com/mics,@laughingbuddhacomedy,
Laughing Buddha Mic-a-thon,Wednesday,9:00 PM,10:30 PM,The Buddha Room,Manhattan,Midtown,"410 8th Ave 2nd Floor, New York, NY 10001",$6+ booking fee,5,Sign up at https://www.laughingbuddhacomedy.com/mics,@laughingbuddhacomedy,
Rodney's Laughing Buddha,Wednesday,9:45 PM,11:15 PM,Rodney's,Manhattan,UES,"1118 1st Ave, New York, NY 10065",$7,,Sign up at https://www.laughingbuddhacomedy.com/mics,Laughing Buddha (@laughingbuddhacomedy),
Tiny Cupboard,Wednesday,10:00 PM,11:30 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207",$2,5,Sign up in person (Blue Room),@thetinycupboard,
Laughing Buddha St. Marks,Thursday,4:30 PM,6:30 PM,St. Marks Comedy Club,Manhattan,East Village,"12 St Marks Pl, New York, NY 10003",$6+ booking fee,,Sign up at https://www.laughingbuddhacomedy.com/mics,Josue Reveles (@laughingbuddhacomedy),
Try New S**T Mic,Thursday,4:30 PM,6:30 PM,West Side Comedy Club,Manhattan,UWS,"201 W 75th St, New York, NY 10023",$5,,Sign up at https://www.fcomedyclub.com/open-mics-calendar/,Sean Mullins (@seantmullins),
Broadway Comedy Club,Thursday,5:00 PM,6:30 PM,Broadway Comedy Club,Manhattan,Hell's Kitchen,"318 W 53rd St, New York, NY 10019",$5,5,Sign up at https://slotted.co/gig-mic,Audrey Mora (@industryroom),
Let's Go Mental,Thursday,5:00 PM,6:00 PM,Hotel Edison,Manhattan,Midtown,"228 W 47th St, New York, NY 10036",Free,5,Sign up at https://standupny.com/upcoming-shows/#/events,Jonah (@standupny),
The Grisly Pear Guest Spot Mic,Thursday,5:00 PM,6:30 PM,Grisly Pear Midtown,Manhattan,Midtown,"243 W 54th St, New York, NY 10019",$6+ booking fee,,Sign up at https://www.laughingbuddhacomedy.com/mics,Laughing Buddha (@laughingbuddhacomedy),
Producer's Club,Thursday,5:00 PM,6:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",$5 cash,5,Sign up in person only,Dee Major (@micdupnyc),
Secret Pour,Thursday,5:00 PM,6:45 PM,Secret Pour,Brooklyn,Bushwick,"1114 DeKalb Ave, Brooklyn, NY 11221",Free (purchase recommended),,Sign up in person,Snipes Snipes (@snipeslovesyou),
Knockouts Comedy,Thursday,5:00 PM,6:30 PM,The Stand,Manhattan,Union Square,"116 E 16th St, New York, NY 10003",$5 (includes drink),,Sign up link in Instagram bio,Knockouts Comedy (@knockoutscomedy),
Sesh Mic,Thursday,5:00 PM,6:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002",$5,5,Sign up in advance at https://slotted.co/seshopenmics,Sesh Comedy (@theflowstatemic),
BK Made Open Mic,Thursday,5:00 PM,6:30 PM,BKLYN Made Comedy,Brooklyn,Bushwick,"1241 Halsey St, New York, NY 11237",$3,5,Sign up in person,@bkmade_openmics,
LGBTQ Oh Craft! Beer Mic,Thursday,5:30 PM,7:00 PM,Oh Craft Beer Harlem,Manhattan,Harlem,"1739 Amsterdam Ave, New York, NY 10031",1 Item Minimum,5,Sign up in person only,Freddy Valoy (@freddyvaloy),Bi-weekly
Comedy Village Open Mic,Thursday,5:30 PM,7:00 PM,Comedy Village,Manhattan,Hell's Kitchen,"352 W 44th St, New York, NY 10036",1 Item Minimum,5,Sign up online,Natalie Gavilanes (@nataliedoescomedy),
Laughing Buddha Mic-a-thon,Thursday,6:00 PM,7:30 PM,The Buddha Room,Manhattan,Midtown,"410 8th Ave 2nd Floor, New York, NY 10001",$6+ booking fee,,Sign up at https://www.laughingbuddhacomedy.com/mics,@laughingbuddhacomedy,
Comedy Shop,Thursday,6:00 PM,7:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012",1 Drink Minimum,,Sign up at https://comedyshopnyc.com/events/,@thecomedyshopvillage,
Grisly Pear,Thursday,6:00 PM,7:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 MacDougal St, New York, NY 10012",1 Drink Minimum,,Sign up in person only,@grislypear,
Producer's Club,Thursday,6:00 PM,8:00 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",$5 cash,5,Sign up in person only,Dee Major (@micdupnyc),
Fear City Mic,Thursday,6:00 PM,7:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002",$5,,Comment on Instagram post to sign up,Jonesy (@thefearcitycomedyclub),
QED Open Mic,Thursday,6:00 PM,7:30 PM,QED Astoria,Queens,Astoria,"27-16 23rd Ave, Astoria, NY 11105",$5+ purchase,,Sign up at 5:30 PM,QED Staff (@qedastoria),
Sesh Mic,Thursday,6:00 PM,7:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002",$5,,Sign up in advance at https://slotted.co/seshopenmics,Sesh Comedy (@theflowstatemic),
PIT Scene Improv Jam,Thursday,6:00 PM,7:30 PM,The PIT NYC,Manhattan,Midtown,"154 W. 29th St., New York, NY 10001",$5,,Sign up online,Beau Danner and Nick Rockwell (@hibeaudanner),
ADHD Comedy,Thursday,6:00 PM,7:00 PM,Commune BK,Brooklyn,Bed Stuy,"415 Classon Ave, Brooklyn, NY 11238",Free,,Sign up at slotted.co/adhdcomedy,,
Gladys Simon Comic Strip,Thursday,6:00 PM,7:45 PM,Comic Strip Live,Manhattan,UES,"1568 2nd Ave, New York, NY 10028",$14,,Email gladyscomedy@yahoo.com,Gladys Simon (@gladyscomedy),
Malev Phoenix Feedback,Thursday,6:05 PM,7:45 PM,Phoenix Bar Avenue A,Manhattan,East Village,"447 E 13th St, New York, NY 10009",1 Drink Minimum,5,Sign up in person only,Adam Malev (@phoenixcomedynyc),
Noise Complaint Mic,Thursday,6:00 PM,7:30 PM,Halyards,Brooklyn,Gowanus,"406 3rd Ave, Brooklyn, NY 11215",1 Drink Minimum,4,Signup form posted on Instagram on Wednesdays,Xavier Maurice (@noisecomplaintcomedy),
Bushwick Comedy Club,Thursday,6:30 PM,7:30 PM,Bushwick Comedy Club,Brooklyn,Bushwick,"259 Melrose St, Brooklyn, NY 11206",$5,5,Sign up at www.bushwickcomedy.com,Jad/Brooks/Kyle (@bushwickcomedyclub),
Flop Mic,Thursday,6:30 PM,8:00 PM,Flop House Comedy Club,Brooklyn,Williamsburg,"362 Grand St, Brooklyn, NY 11211",Free (purchase recommended),,Sign up at https://checkout.square.site/merchant/MLE3S94S31KSN/checkout/SIS6B57KN346S6DZKXCFZ26T,Flop House Host (@flophousecomedy),
BK Made Open Mic,Thursday,7:00 PM,8:30 PM,BKLYN Made Comedy,Brooklyn,Bushwick,"1241 Halsey St, New York, NY 11237",$3,5,Sign up in person,@bkmade_openmics,
Backyard Baseball,Thursday,7:00 PM,8:30 PM,Easy Lover BK,Brooklyn,Williamsburg,"790 Metropolitan Ave, Brooklyn, NY 11211",Free,5,Sign up in person,@backyardbbcomic,Runs 2nd and 4th Thursday of the month.
Taylor Drew Feedback Mic,Thursday,7:00 PM,8:30 PM,Secret Pour,Brooklyn,Bushwick,"1114 DeKalb Ave, Brooklyn, NY 11221",Free (purchase recommended),5,Sign up in person,Taylor Drew (@taylordrew4u),
Sesh Mic,Thursday,7:00 PM,8:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002",$5,5,Sign up in advance at https://slotted.co/seshopenmics,Sesh Comedy (@theflowstatemic),
Comedians on the Loose,Thursday,7:00 PM,8:55 PM,Black Cat LES,Manhattan,LES,"172 Rivington St, New York, NY 10002",$6 cash,5,Sign up at https://www.comediansontheloose.com/open-mics,Sonja Savanovic (@cotlcomedy),
Manhattan Mic,Thursday,7:00 PM,8:30 PM,Fiction Bar,Brooklyn,East Williamsburg,"308 Hooper St, Brooklyn, NY 11211",Free (purchase recommended),5,Sign up in person,Sean Peecook and Eion (@themanhattanmic),
Pizzagator,Thursday,7:30 PM,9:00 PM,Alligator Lounge,Brooklyn,Williamsburg,"600 Metropolitan Ave, Brooklyn, NY 11211",Free (purchase recommended),,Sign up in person,@alligatorlounge,
Thursdays at the Rib,Thursday,7:30 PM,9:00 PM,Island Ribhouse,Brooklyn,Crown Heights,"611 Nostrand Ave, Brooklyn, NY 11216",Free (purchase recommended),5,Sign up in person,@thursdaysattherib,
Producer's Club,Thursday,7:30 PM,9:00 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",$5 cash,5,Sign up in person only,Dee Major (@micdupnyc),
The Fran Mic,Thursday,8:00 PM,10:00 PM,Easy Lover BK,Brooklyn,Williamsburg,"790 Metropolitan Ave, Brooklyn, NY 11211",Free (purchase recommended),,Sign up in person,@franopenmic,Runs 2nd and 4th Thursday of the month.
Laughing Buddha Mic-a-thon,Thursday,7:30 PM,9:00 PM,The Buddha Room,Manhattan,Midtown,"410 8th Ave 2nd Floor, New York, NY 10001",$6+ booking fee,5,Sign up at https://www.laughingbuddhacomedy.com/mics,@laughingbuddhacomedy,
Trauma Dump Thursday Mic,Thursday,8:00 PM,9:30 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217",Free + 1 item minimum,5,Sign up in person 30 minutes prior,Rachel Warden (@traumadumpthursdaymic),
Flop Mic,Thursday,8:00 PM,9:30 PM,Flop House Comedy Club,Brooklyn,Williamsburg,"362 Grand St, Brooklyn, NY 11211",Free (purchase recommended),,Sign up at https://checkout.square.site/merchant/MLE3S94S31KSN/checkout/SIS6B57KN346S6DZKXCFZ26T,Flop House Host (@flophousecomedy),
Pop Shop,Thursday,8:00 PM,9:30 PM,Cool Beans Coffee,Queens,Astoria,"50-20 39th Ave, Woodside, NY 11377",Free (purchase recommended),,Sign up in person,@popshopcomedy,
Tiny Cupboard,Thursday,8:30 PM,10:00 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207",$2,5,Sign up in person (Blue Room),Ryan Green (@thetinycupboard),
Producer's Club,Thursday,9:00 PM,10:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",$5 cash,5,Sign up in person only,Dee Major (@micdupnyc),
BK Made Open Mic,Thursday,9:00 PM,10:30 PM,BKLYN Made Comedy,Brooklyn,Bushwick,"1241 Halsey St, New York, NY 11237",$3,5,Sign up in person,@bkmade_openmics,
Fear City Late Mic,Thursday,9:00 PM,10:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002",$5,5,Comment on Instagram post to sign up,Jonesy (@thefearcitycomedyclub),Show dependent start time (9 or 10 PM)
Comedians on the Loose,Thursday,9:00 PM,10:55 PM,Black Cat LES,Manhattan,LES,"172 Rivington St, New York, NY 10002",$6 cash,5,Sign up at https://www.comediansontheloose.com/open-mics,Sonja Savanovic (@cotlcomedy),
Slander Factory Open Mic,Thursday,9:30 PM,11:00 PM,Talon Bar,Brooklyn,Bushwick,"220 Wyckoff Ave, Brooklyn, NY 11237",Free (purchase recommended),,Sign up in person,Greg Gettle (@slanderfactory),
Broadway Comedy Club,Friday,4:00 PM,5:30 PM,Broadway Comedy Club,Manhattan,Hell's Kitchen,"318 W 53rd St, New York, NY 10019",$5,5,Sign up at https://slotted.co/gig-mic,Dina Marie (@fabulousdinamarie),
Don't Freak Out,Friday,4:00 PM,5:30 PM,New York Comedy Club Midtown,Manhattan,Gramercy,"241 E 24th St, New York, NY 10010",$5,5,Sign up in person,Chris Pattwell (@chrispatwell.comedy),
Comedy Shop Mic,Friday,4:00 PM,5:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012",$7.62 (includes drink/fries),,Sign up at https://comedyshopnyc.com/events/,@thecomedyshopvillage,
Grisly Pear,Friday,4:00 PM,5:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 MacDougal St, New York, NY 10012",$5 cash,5,Sign up in person,@grislypear,
St. Marks Comedy Club,Friday,4:30 PM,6:00 PM,St. Marks Comedy Club,Manhattan,East Village,"12 St Marks Pl, New York, NY 10003",$6+ booking fee,,Sign up at https://www.laughingbuddhacomedy.com/mics,Laughing Buddha (@laughingbuddhacomedy),
QED Open Mic,Friday,6:00 PM,7:30 PM,QED Astoria,Queens,Astoria,"27-16 23rd Ave, Astoria, NY 11105",$5+ purchase,,Sign up in person,QED Staff (@qedastoria),
The Grisly Pear Mic,Friday,5:00 PM,6:30 PM,Grisly Pear Midtown,Manhattan,Midtown,"243 W 54th St, New York, NY 10019",$6+ booking fee,,Sign up at https://www.laughingbuddhacomedy.com/mics,Laughing Buddha (@laughingbuddhacomedy),
Rodney's,Friday,5:00 PM,6:45 PM,Rodney's,Manhattan,Upper East Side,"1118 1st Ave, New York, NY 10065",$2 + 1 drink,5,Sign up in person at 4:30 PM,Ryan Harroff (@Ryanhlaughs),
Numbskull,Friday,5:00 PM,6:30 PM,Pete's Candy Store,Brooklyn,Williamsburg,"709 Lorimer St, Brooklyn, NY 11211",1 Drink Minimum,,Sign up in person,Molly Zalman (@numbskull_mic),
Producer's Club,Friday,5:00 PM,6:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036",$5 cash,5,Sign up in person,Dee Major (@micdupnyc),
Sesh Mic,Friday,5:00 PM,6:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002",$5,5,Sign up in advance at https://slotted.co/seshopenmics,Sesh Comedy (@theflowstatemic),
PIT Improv Jam FeelGoodFriday,Friday,5:00 PM,6:30 PM,The PIT NYC,Manhattan,Midtown,"154 W. 29th St., New York, NY 10001",$10,,Sign up online,John T Haller (@johnthaller),
Comedy Village Open Mic,Friday,5:30 PM,7:00 PM,Comedy Village,Manhattan,Hell's Kitchen,"352 W 44th St, New York, NY 10036",$6 (includes drink),5,Sign up online,Natalie Gavilanes (@nataliedoescomedy),On break in August, returns in September.
Laughing Buddha Mic-a-thon,Friday,6:00 PM,7:30 PM,The Buddha Room,Manhattan,Midtown,"410 8th Ave 2nd Floor, New York, NY 10001",$6+ booking fee,5,Sign up at https://www.laughingbuddhacomedy.com/mics,@laughingbuddhacomedy,
Comedy Shop,Friday,6:00 PM,7:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012",$7.62 (includes drink/fries),,Sign up at https://comedyshopnyc.com/events/,Alexis Ramirez (@asapangry_),
Phoenix Bar,Friday,6:00 PM,7:45 PM,Phoenix Bar Avenue A,Manhattan,East Village,"447 E 13th St, New York, NY 10009",1 Drink Minimum,5,Sign up in person,Hetty Ra (@phoenixcomedynyc),
